"RowId","y_gt","date"
"30001","yes","2017-04-10T10:00:00"
"30002","yes","2017-04-10T10:00:00"
"30003","yes","2017-04-10T10:00:00"
"30004","yes","2017-04-10T10:00:00"
"30005","yes","2017-04-10T10:00:00"
"30006","yes","2017-04-10T10:00:00"
"30007","yes","2017-04-10T10:00:00"
"30008","yes","2017-04-10T10:00:00"
"30009","no","2017-04-10T10:00:00"
"30010","no","2017-04-10T10:00:00"
"30011","no","2017-04-10T10:00:00"
"30012","no","2017-04-10T10:00:00"
"30013","no","2017-04-10T10:00:00"
"30014","no","2017-04-10T10:00:00"
"30015","no","2017-04-10T10:00:00"
"30016","no","2017-04-10T10:00:00"
"30017","yes","2017-04-10T10:00:00"
"30018","yes","2017-04-10T10:00:00"
"30019","yes","2017-04-10T10:00:00"
"30020","yes","2017-04-10T10:00:00"
"30021","yes","2017-04-10T10:00:00"
"30022","no","2017-04-10T10:00:00"
"30023","yes","2017-04-10T10:00:00"
"30024","no","2017-04-10T10:00:00"
"30025","yes","2017-04-10T10:00:00"
"30026","no","2017-04-10T10:00:00"
"30027","yes","2017-04-10T10:00:00"
"30028","yes","2017-04-10T10:00:00"
"30029","no","2017-04-10T10:00:00"
"30030","yes","2017-04-10T10:00:00"
"30031","yes","2017-04-10T10:00:00"
"30032","yes","2017-04-10T10:00:00"
"30033","yes","2017-04-10T10:00:00"
"30034","yes","2017-04-10T10:00:00"
"30035","no","2017-04-10T10:00:00"
"30036","yes","2017-04-10T10:00:00"
"30037","no","2017-04-10T10:00:00"
"30038","no","2017-04-10T10:00:00"
"30039","yes","2017-04-10T10:00:00"
"30040","yes","2017-04-10T10:00:00"
"30041","yes","2017-04-10T10:00:00"
"30042","no","2017-04-10T10:00:00"
"30043","no","2017-04-10T10:00:00"
"30044","no","2017-04-10T10:00:00"
"30045","yes","2017-04-10T10:00:00"
"30046","yes","2017-04-10T10:00:00"
"30047","yes","2017-04-10T10:00:00"
"30048","yes","2017-04-10T10:00:00"
"30049","yes","2017-04-10T10:00:00"
"30050","yes","2017-04-10T10:00:00"
"30051","no","2017-04-10T10:00:00"
"30052","no","2017-04-10T10:00:00"
"30053","no","2017-04-10T10:00:00"
"30054","no","2017-04-10T10:00:00"
"30055","yes","2017-04-10T10:00:00"
"30056","yes","2017-04-10T10:00:00"
"30057","no","2017-04-10T10:00:00"
"30058","yes","2017-04-10T10:00:00"
"30059","yes","2017-04-10T10:00:00"
"30060","yes","2017-04-10T10:00:00"
"30061","no","2017-04-10T10:00:00"
"30062","no","2017-04-10T10:00:00"
"30063","yes","2017-04-10T10:00:00"
"30064","no","2017-04-10T10:00:00"
"30065","yes","2017-04-10T10:00:00"
"30066","no","2017-04-10T10:00:00"
"30067","no","2017-04-10T10:00:00"
"30068","no","2017-04-10T10:00:00"
"30069","yes","2017-04-10T10:00:00"
"30070","no","2017-04-10T10:00:00"
"30071","no","2017-04-10T10:00:00"
"30072","no","2017-04-10T10:00:00"
"30073","no","2017-04-10T10:00:00"
"30074","no","2017-04-10T10:00:00"
"30075","no","2017-04-10T10:00:00"
"30076","yes","2017-04-10T10:00:00"
"30077","no","2017-04-10T10:00:00"
"30078","no","2017-04-10T10:00:00"
"30079","no","2017-04-10T10:00:00"
"30080","no","2017-04-10T10:00:00"
"30081","yes","2017-04-10T10:00:00"
"30082","yes","2017-04-10T10:00:00"
"30083","yes","2017-04-10T10:00:00"
"30084","no","2017-04-10T10:00:00"
"30085","no","2017-04-10T10:00:00"
"30086","no","2017-04-10T10:00:00"
"30087","no","2017-04-10T10:00:00"
"30088","no","2017-04-10T10:00:00"
"30089","yes","2017-04-10T10:00:00"
"30090","no","2017-04-10T10:00:00"
"30091","no","2017-04-10T10:00:00"
"30092","yes","2017-04-10T10:00:00"
"30093","no","2017-04-10T10:00:00"
"30094","no","2017-04-10T10:00:00"
"30095","no","2017-04-10T10:00:00"
"30096","yes","2017-04-10T10:00:00"
"30097","yes","2017-04-10T10:00:00"
"30098","no","2017-04-10T10:00:00"
"30099","no","2017-04-10T10:00:00"
"30100","no","2017-04-10T10:00:00"
"30101","yes","2017-04-10T10:00:00"
"30102","no","2017-04-10T10:00:00"
"30103","no","2017-04-10T10:00:00"
"30104","no","2017-04-10T10:00:00"
"30105","yes","2017-04-10T10:00:00"
"30106","no","2017-04-10T10:00:00"
"30107","no","2017-04-10T10:00:00"
"30108","no","2017-04-10T10:00:00"
"30109","no","2017-04-10T10:00:00"
"30110","no","2017-04-10T10:00:00"
"30111","no","2017-04-10T10:00:00"
"30112","yes","2017-04-10T10:00:00"
"30113","no","2017-04-10T10:00:00"
"30114","no","2017-04-10T10:00:00"
"30115","no","2017-04-10T10:00:00"
"30116","no","2017-04-10T10:00:00"
"30117","no","2017-04-10T10:00:00"
"30118","yes","2017-04-10T10:00:00"
"30119","yes","2017-04-10T10:00:00"
"30120","yes","2017-04-10T10:00:00"
"30121","no","2017-04-10T10:00:00"
"30122","no","2017-04-10T10:00:00"
"30123","no","2017-04-10T10:00:00"
"30124","no","2017-04-10T10:00:00"
"30125","no","2017-04-10T10:00:00"
"30126","no","2017-04-10T10:00:00"
"30127","no","2017-04-10T10:00:00"
"30128","no","2017-04-10T10:00:00"
"30129","no","2017-04-10T10:00:00"
"30130","no","2017-04-10T10:00:00"
"30131","no","2017-04-10T10:00:00"
"30132","yes","2017-04-10T10:00:00"
"30133","yes","2017-04-10T10:00:00"
"30134","yes","2017-04-10T10:00:00"
"30135","yes","2017-04-10T10:00:00"
"30136","no","2017-04-10T10:00:00"
"30137","no","2017-04-10T10:00:00"
"30138","yes","2017-04-10T10:00:00"
"30139","yes","2017-04-10T10:00:00"
"30140","yes","2017-04-10T10:00:00"
"30141","yes","2017-04-10T10:00:00"
"30142","no","2017-04-10T10:00:00"
"30143","yes","2017-04-10T10:00:00"
"30144","no","2017-04-10T10:00:00"
"30145","no","2017-04-10T10:00:00"
"30146","yes","2017-04-10T10:00:00"
"30147","no","2017-04-10T10:00:00"
"30148","yes","2017-04-10T10:00:00"
"30149","yes","2017-04-10T10:00:00"
"30150","no","2017-04-10T10:00:00"
"30151","no","2017-04-10T10:00:00"
"30152","no","2017-04-10T10:00:00"
"30153","yes","2017-04-10T10:00:00"
"30154","no","2017-04-10T10:00:00"
"30155","no","2017-04-10T10:00:00"
"30156","no","2017-04-10T10:00:00"
"30157","yes","2017-04-10T10:00:00"
"30158","yes","2017-04-10T10:00:00"
"30159","yes","2017-04-10T10:00:00"
"30160","no","2017-04-10T10:00:00"
"30161","yes","2017-04-10T10:00:00"
"30162","no","2017-04-10T10:00:00"
"30163","no","2017-04-10T10:00:00"
"30164","no","2017-04-10T10:00:00"
"30165","no","2017-04-10T10:00:00"
"30166","no","2017-04-10T10:00:00"
"30167","yes","2017-04-10T10:00:00"
"30168","yes","2017-04-10T10:00:00"
"30169","no","2017-04-10T10:00:00"
"30170","no","2017-04-10T10:00:00"
"30171","no","2017-04-10T10:00:00"
"30172","yes","2017-04-10T10:00:00"
"30173","no","2017-04-10T10:00:00"
"30174","yes","2017-04-10T10:00:00"
"30175","yes","2017-04-10T10:00:00"
"30176","yes","2017-04-10T10:00:00"
"30177","yes","2017-04-10T10:00:00"
"30178","no","2017-04-10T10:00:00"
"30179","yes","2017-04-10T10:00:00"
"30180","yes","2017-04-10T10:00:00"
"30181","no","2017-04-10T10:00:00"
"30182","yes","2017-04-10T10:00:00"
"30183","yes","2017-04-10T10:00:00"
"30184","yes","2017-04-10T10:00:00"
"30185","yes","2017-04-10T10:00:00"
"30186","yes","2017-04-10T10:00:00"
"30187","no","2017-04-10T10:00:00"
"30188","yes","2017-04-10T10:00:00"
"30189","yes","2017-04-10T10:00:00"
"30190","yes","2017-04-10T10:00:00"
"30191","no","2017-04-10T10:00:00"
"30192","no","2017-04-10T10:00:00"
"30193","no","2017-04-10T10:00:00"
"30194","yes","2017-04-10T10:00:00"
"30195","yes","2017-04-10T10:00:00"
"30196","no","2017-04-10T10:00:00"
"30197","yes","2017-04-10T10:00:00"
"30198","yes","2017-04-10T10:00:00"
"30199","no","2017-04-10T10:00:00"
"30200","yes","2017-04-10T10:00:00"
"30201","no","2017-04-10T10:00:00"
"30202","yes","2017-04-10T10:00:00"
"30203","yes","2017-04-10T10:00:00"
"30204","no","2017-04-10T10:00:00"
"30205","no","2017-04-10T10:00:00"
"30206","no","2017-04-10T10:00:00"
"30207","yes","2017-04-10T10:00:00"
"30208","no","2017-04-10T10:00:00"
"30209","yes","2017-04-10T10:00:00"
"30210","yes","2017-04-10T10:00:00"
"30211","no","2017-04-10T10:00:00"
"30212","yes","2017-04-10T10:00:00"
"30213","no","2017-04-10T10:00:00"
"30214","no","2017-04-10T10:00:00"
"30215","yes","2017-04-10T10:00:00"
"30216","no","2017-04-10T10:00:00"
"30217","yes","2017-04-10T10:00:00"
"30218","yes","2017-04-10T10:00:00"
"30219","yes","2017-04-10T10:00:00"
"30220","yes","2017-04-10T10:00:00"
"30221","no","2017-04-10T10:00:00"
"30222","no","2017-04-10T10:00:00"
"30223","yes","2017-04-10T10:00:00"
"30224","no","2017-04-10T10:00:00"
"30225","no","2017-04-10T10:00:00"
"30226","no","2017-04-10T10:00:00"
"30227","no","2017-04-10T10:00:00"
"30228","no","2017-04-10T10:00:00"
"30229","no","2017-04-10T10:00:00"
"30230","yes","2017-04-10T10:00:00"
"30231","yes","2017-04-10T10:00:00"
"30232","no","2017-04-10T10:00:00"
"30233","yes","2017-04-10T10:00:00"
"30234","yes","2017-04-10T10:00:00"
"30235","yes","2017-04-10T10:00:00"
"30236","yes","2017-04-10T10:00:00"
"30237","no","2017-04-10T10:00:00"
"30238","yes","2017-04-10T10:00:00"
"30239","no","2017-04-10T10:00:00"
"30240","no","2017-04-10T10:00:00"
"30241","no","2017-04-10T10:00:00"
"30242","no","2017-04-10T10:00:00"
"30243","yes","2017-04-10T10:00:00"
"30244","no","2017-04-10T10:00:00"
"30245","no","2017-04-10T10:00:00"
"30246","no","2017-04-10T10:00:00"
"30247","yes","2017-04-10T10:00:00"
"30248","no","2017-04-10T10:00:00"
"30249","no","2017-04-10T10:00:00"
"30250","no","2017-04-10T10:00:00"
"30251","no","2017-04-10T10:00:00"
"30252","yes","2017-04-10T10:00:00"
"30253","yes","2017-04-10T10:00:00"
"30254","no","2017-04-10T10:00:00"
"30255","no","2017-04-10T10:00:00"
"30256","no","2017-04-10T10:00:00"
"30257","no","2017-04-10T10:00:00"
"30258","no","2017-04-10T10:00:00"
"30259","no","2017-04-10T10:00:00"
"30260","yes","2017-04-10T10:00:00"
"30261","no","2017-04-10T10:00:00"
"30262","no","2017-04-10T10:00:00"
"30263","no","2017-04-10T10:00:00"
"30264","no","2017-04-10T10:00:00"
"30265","no","2017-04-10T10:00:00"
"30266","no","2017-04-10T10:00:00"
"30267","no","2017-04-10T10:00:00"
"30268","yes","2017-04-10T10:00:00"
"30269","no","2017-04-10T10:00:00"
"30270","yes","2017-04-10T10:00:00"
"30271","no","2017-04-10T10:00:00"
"30272","no","2017-04-10T10:00:00"
"30273","yes","2017-04-10T10:00:00"
"30274","yes","2017-04-10T10:00:00"
"30275","no","2017-04-10T10:00:00"
"30276","no","2017-04-10T10:00:00"
"30277","yes","2017-04-10T10:00:00"
"30278","no","2017-04-10T10:00:00"
"30279","no","2017-04-10T10:00:00"
"30280","no","2017-04-10T10:00:00"
"30281","no","2017-04-10T10:00:00"
"30282","yes","2017-04-10T10:00:00"
"30283","yes","2017-04-10T10:00:00"
"30284","yes","2017-04-10T10:00:00"
"30285","no","2017-04-10T10:00:00"
"30286","yes","2017-04-10T10:00:00"
"30287","no","2017-04-10T10:00:00"
"30288","yes","2017-04-10T10:00:00"
"30289","yes","2017-04-10T10:00:00"
"30290","no","2017-04-10T10:00:00"
"30291","yes","2017-04-10T10:00:00"
