"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","date","RowId","y"
"39","admin.","divorced","high.school","no","no","yes","cellular","may","fri","301","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35001","no"
"44","self-employed","married","university.degree","no","yes","no","cellular","may","fri","151","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35002","no"
"45","blue-collar","single","high.school","no","yes","no","cellular","may","fri","146","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35003","no"
"54","services","single","basic.6y","unknown","yes","no","cellular","may","fri","250","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35004","no"
"43","blue-collar","divorced","basic.9y","no","unknown","unknown","cellular","may","fri","148","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35005","no"
"34","housemaid","married","high.school","unknown","yes","no","cellular","may","fri","106","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35006","no"
"50","services","married","high.school","no","yes","yes","cellular","may","fri","44","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35007","no"
"58","admin.","married","basic.4y","unknown","no","no","cellular","may","fri","901","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35008","no"
"45","blue-collar","single","high.school","no","no","no","cellular","may","fri","358","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35009","no"
"31","blue-collar","married","university.degree","no","yes","no","cellular","may","fri","1286","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35010","no"
"25","blue-collar","single","basic.9y","no","yes","no","cellular","may","fri","73","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35011","no"
"55","management","married","basic.6y","unknown","no","yes","cellular","may","fri","87","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35012","no"
"39","self-employed","married","basic.9y","no","yes","no","cellular","may","fri","744","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35013","no"
"55","management","married","basic.6y","unknown","yes","no","cellular","may","fri","127","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35014","no"
"51","admin.","married","high.school","no","no","yes","cellular","may","fri","55","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35015","no"
"50","services","married","high.school","no","no","no","cellular","may","fri","454","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35016","no"
"30","entrepreneur","married","high.school","no","yes","yes","cellular","may","fri","485","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35017","no"
"35","blue-collar","single","basic.4y","no","no","no","cellular","may","fri","12","5","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35018","no"
"26","self-employed","single","university.degree","no","no","no","cellular","may","fri","99","3","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35019","no"
"32","blue-collar","single","basic.6y","unknown","yes","no","telephone","may","fri","9","6","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35020","no"
"37","admin.","married","high.school","no","no","no","cellular","may","fri","123","5","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35021","no"
"23","blue-collar","single","basic.4y","no","yes","yes","cellular","may","fri","102","7","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35022","no"
"31","blue-collar","married","basic.9y","no","no","no","cellular","may","fri","282","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35023","no"
"54","services","single","basic.6y","unknown","no","no","cellular","may","fri","984","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35024","no"
